iteration,best_fitness
1,0.125
2,0.125
3,0.09999999999999998
4,0.09999999999999998
5,0.07499999999999996
6,0.07499999999999996
7,0.07499999999999996
8,0.07499999999999996
9,0.07499999999999996
10,0.07499999999999996
11,0.07499999999999996
12,0.07499999999999996
13,0.07499999999999996
14,0.07499999999999996
15,0.07499999999999996
16,0.050000000000000044
17,0.050000000000000044
18,0.050000000000000044
19,0.050000000000000044
20,0.050000000000000044
21,0.050000000000000044
22,0.050000000000000044
23,0.050000000000000044
24,0.050000000000000044
25,0.050000000000000044
26,0.050000000000000044
27,0.050000000000000044
28,0.050000000000000044
29,0.050000000000000044
30,0.050000000000000044
