iteration,best_fitness
1,0.15000000000000002
2,0.09999999999999998
3,0.09999999999999998
4,0.09999999999999998
5,0.050000000000000044
6,0.050000000000000044
7,0.050000000000000044
8,0.050000000000000044
9,0.050000000000000044
10,0.050000000000000044
11,0.050000000000000044
12,0.050000000000000044
13,0.050000000000000044
14,0.050000000000000044
15,0.050000000000000044
16,0.050000000000000044
17,0.050000000000000044
18,0.050000000000000044
19,0.050000000000000044
20,0.050000000000000044
21,0.15000000000000002
22,0.15000000000000002
23,0.15000000000000002
24,0.15000000000000002
25,0.09999999999999998
26,0.09999999999999998
27,0.09999999999999998
28,0.09999999999999998
29,0.09999999999999998
30,0.09999999999999998
31,0.09999999999999998
32,0.09999999999999998
33,0.09999999999999998
34,0.09999999999999998
35,0.09999999999999998
36,0.09999999999999998
37,0.09999999999999998
38,0.09999999999999998
39,0.09999999999999998
40,0.09999999999999998
