iteration,best_fitness
1,435.38711298965814
2,428.6551318106314
3,295.0947782378431
4,295.0947782378431
5,295.0947782378431
6,208.14986016137001
7,208.14986016137001
8,191.31837680258508
9,191.31837680258508
10,123.50888989110675
11,123.50888989110675
12,101.80570439627047
13,101.80570439627047
14,101.80570439627047
15,101.80570439627047
16,101.80570439627047
17,101.80570439627047
18,101.80570439627047
19,101.80570439627047
20,101.80570439627047
21,82.23377103957921
22,75.44412057221838
23,75.44412057221838
24,75.44412057221838
25,75.44412057221838
26,75.44412057221838
27,75.44412057221838
28,75.44412057221838
29,75.44412057221838
30,75.44412057221838
31,67.32297640745124
32,67.32297640745124
33,67.32297640745124
34,67.32297640745124
35,67.32297640745124
36,67.32297640745124
37,67.32297640745124
38,64.53060888415884
39,64.53060888415884
40,64.53060888415884
41,64.53060888415884
42,64.53060888415884
43,55.9544740922032
44,55.9544740922032
45,54.17859817843391
46,54.17859817843391
47,54.17859817843391
48,54.17859817843391
49,54.17859817843391
50,54.17859817843391
