iteration,best_fitness
1,1319.7211109852253
2,438.13550589209143
3,80.51536739431593
4,15.557156558747353
5,3.24421990688017
6,2.066859222692739
7,0.7310294637524976
8,0.12211524164064075
9,0.03419984569353166
10,0.002253558984876531
11,0.000522211792163445
12,0.0002480411011980229
13,3.14502567980441e-05
14,2.783753125012662e-05
15,1.1875347126425175e-05
16,8.323211185220411e-07
17,1.1829932153076995e-07
18,7.996045138522077e-08
19,1.6595644740073863e-08
20,3.201575832689956e-09
21,7.207499317860557e-10
22,7.207499317860557e-10
23,8.686061677961631e-11
24,3.0928790534626465e-11
25,5.546704146434582e-12
26,3.5509906859455216e-12
27,1.4673836577098082e-12
28,1.4691167544973138e-13
29,1.0573597475856762e-14
30,1.0573597475856762e-14
31,4.810416694362219e-16
32,4.810416694362219e-16
33,1.2126765410514576e-17
34,1.2126765410514576e-17
35,9.108796145582956e-19
36,1.2037435322970378e-19
37,2.4641816302205702e-20
38,7.548463254023465e-22
39,5.94809190756415e-22
40,8.698628851664383e-23
41,1.0830865194745204e-23
42,2.3289893779678473e-24
43,4.545395054706092e-25
44,2.7512265325315567e-27
45,2.7512265325315567e-27
46,8.547189370112619e-28
47,3.390702422703712e-28
48,6.442801886205676e-29
49,9.861746458284801e-30
50,4.10391351417372e-31
51,1.6431486439333274e-32
52,9.806898795754792e-33
53,5.44432130445578e-33
54,3.302695105852404e-33
55,1.7689838480463663e-33
56,7.492874153228129e-34
57,2.088329518041873e-34
58,1.4359661502692857e-34
59,8.028562260678532e-35
60,5.568445841151362e-35
61,3.3188679319615007e-35
62,1.580173024940422e-35
63,1.450043051311914e-35
64,7.95018665478156e-36
65,6.673444080092503e-36
66,5.2011741946578977e-36
67,3.485139637487847e-36
68,2.9968389940796616e-36
69,2.457470195792106e-36
70,1.662754884041308e-36
71,1.238092657122917e-36
72,9.09574729427225e-37
73,7.96887145825852e-37
74,5.61825854040227e-37
75,4.819850576109319e-37
76,4.193911300387011e-37
77,3.1583201738198338e-37
78,2.4050180103779395e-37
79,2.0556837067942336e-37
80,1.5654285531278295e-37
81,1.488993309668596e-37
82,1.3572512364913293e-37
83,1.2100616312020058e-37
84,1.0636016771561983e-37
85,9.690411319417549e-38
86,8.443010246235509e-38
87,7.772311280691982e-38
88,5.432167033690566e-38
89,5.432167033690566e-38
90,4.889323897549903e-38
91,4.347394000912202e-38
92,4.255529462865826e-38
93,3.922156275348548e-38
94,3.782216913847228e-38
95,3.548103257592871e-38
96,3.4347928773712074e-38
97,3.3213745590023005e-38
98,3.260166822014706e-38
99,3.189816910509689e-38
100,3.1521061107609994e-38
