iteration,best_fitness
1,3.5242003761003433
2,0.5861595711348706
3,0.5861595711348706
4,0.00851622743595251
5,0.00851622743595251
6,0.00851622743595251
7,0.00015301103217562378
8,0.0001015789062055699
9,0.0001015789062055699
10,0.0001015789062055699
11,1.8185216836676295e-06
12,1.8185216836676295e-06
13,1.8185216836676295e-06
14,1.8185216836676295e-06
15,1.8185216836676295e-06
16,3.1763215141218914e-07
17,3.1763215141218914e-07
18,2.8836762523370327e-07
19,1.0102983926915504e-07
20,1.0102983926915504e-07
21,1.0102983926915504e-07
22,1.0102983926915504e-07
23,1.0102983926915504e-07
24,1.0102983926915504e-07
25,1.0102983926915504e-07
26,2.755358581739915e-08
27,2.630707645102091e-08
28,2.1134030844889645e-08
29,4.112775250733772e-09
30,4.112775250733772e-09
31,4.112775250733772e-09
32,4.112775250733772e-09
33,3.3284914461749675e-10
34,3.3284914461749675e-10
35,2.2483566533494295e-10
36,1.84524701382965e-11
37,8.998627307107236e-12
38,1.9971954252521037e-12
39,3.797428752229076e-13
40,3.797428752229076e-13
41,4.5317575353136296e-15
42,4.5317575353136296e-15
43,9.348736739328797e-16
44,4.3558129593668415e-16
45,1.6865586340319219e-16
46,8.036326311264819e-17
47,8.036326311264819e-17
48,8.036326311264819e-17
49,8.036326311264819e-17
50,8.036326311264819e-17
51,5.223536751690193e-18
52,5.223536751690193e-18
53,5.223536751690193e-18
54,2.0099097132777868e-22
55,2.0099097132777868e-22
56,2.0099097132777868e-22
57,2.0099097132777868e-22
58,2.0099097132777868e-22
59,1.7736995463338355e-22
60,5.431329119232205e-23
61,5.431329119232205e-23
62,4.2712495291554456e-23
63,1.0151618216180658e-23
64,1.0151618216180658e-23
65,1.0151618216180658e-23
66,1.0151618216180658e-23
67,1.0151618216180658e-23
68,1.0151618216180658e-23
69,1.0151618216180658e-23
70,1.0151618216180658e-23
71,1.0151618216180658e-23
72,1.0151618216180658e-23
73,1.0151618216180658e-23
74,1.0151618216180658e-23
75,1.0151618216180658e-23
76,1.0151618216180658e-23
77,3.713494768914327e-24
78,2.8391992123416902e-24
79,2.8391992123416902e-24
80,1.5013108007426662e-24
81,1.225962510643868e-24
82,1.0919840492745312e-24
83,1.039584475529921e-24
84,7.685377544944704e-25
85,7.685377544944704e-25
86,7.685377544944704e-25
87,7.685377544944704e-25
88,7.685377544944704e-25
89,7.480981340857063e-25
90,6.893966875112736e-25
91,4.594077708385867e-25
92,3.6709683136695186e-25
93,3.6709683136695186e-25
94,3.6709683136695186e-25
95,3.6709683136695186e-25
96,3.6709683136695186e-25
97,3.6709683136695186e-25
98,3.6709683136695186e-25
99,3.6709683136695186e-25
100,3.6709683136695186e-25
