Algorithm,Best_Fitness,Mean_Fitness,Std_Fitness,Mean_Time,Stability_Score,Total_Runs,Model_Available,Session_ID
PSO,0.03339831059129306,0.033976917602648614,0.0008182738827431891,112.24782554308574,0.9759167711352544,3,True,session_20251009_030502_7116d910
GWO,0.03337046319502457,0.03453695968315847,0.0016496751539795504,249.17573730150858,0.952234499819508,3,True,session_20251009_030502_7116d910
WDO,0.03165320709180364,0.039261734583372086,0.005427506208867006,108.89476617177327,0.8617609164123474,3,True,session_20251009_030502_7116d910
