Algorithm,Best_Fitness,Mean_Fitness,Std_Fitness,Mean_Time,Stability_Score,Total_Runs,Model_Available,Session_ID,Mean_Features,Mean_Accuracy
PSO,0.060231133389028094,0.06592221293975681,0.004902957523594887,95.92006731033325,0.9256251071535558,3,True,session_20251009_160226_a1be7521,8.0,0.9340777870602434
GWO,0.045152696556205345,0.04673473807976735,0.0012212767135571813,210.72880069414774,0.9738679028975685,3,True,session_20251009_160226_a1be7521,4.0,0.9532652619202326
